"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"Águas Lindas","UHE","DRS-UHE","PA","40","Cupari","Tapajos","48500.006604/2012-05","875/2020","CIENGE Engenharia e Comércio Ltda. ","3.717/2017 (Cautelar nº 1936/2019)","","","4°11'34,337""S","55°25'11,727""W"
"Aldeia","PCH","DRS-PCH","SC","14.5","Irani","Uruguai, Chapeco,Passo Fundo e outros","48500.006492/2011-01","875/2020","Elbrax Geração de Energias Limpas Ltda. ","2.957","11/5/2019","10/7/2022","27°10'14,743""S","52°31'18,856""W"
"Aldeia Velha","UHE","DRI-UHE","MG/RJ","32.506","Preto","Paraiba do Sul","48500.000160/2019-62","875/2020","EBDE Energia S.A. ","217","2/4/2019","4/4/2020","22°15'12,97""S","44°20'24,81""W"
"Alemães Baixo","PCH","DRS-PCH","MG","18.4","Abaeté","Das Velhas - Sao Francisco","48500.002523/2003-57","875/2020","Sigma Energia S.A ","813","4/4/2017","4/4/2020","18°10'18,394""S","45°35'20,655""W"
"Aliança","PCH","DRS-PCH","PR","5.54","Lajeado Grande","Parana, Iguacu","48500.002904/2016-31","875/2020","Electra Power Geração de Energia S.A. ","3.484","10/19/2017","10/19/2020","25°51'8""S","51°41'40""W"
"Aloândia","PCH","DRS-PCH","GO","19","Meia Ponte","Paranaiba","48500.005610/2010-75","875/2020","Minas PCH S.A.; Celg Geração & Transmissão S.A.; Sonnen Empreendimentos e Participações Ltda.","1.218","5/5/2020","1/17/2023","17°44'2""S","49°25'52""W"
"Alto Chopim","PCH","DRS-PCH","PR","21","Chopim","Parana, Iguacu","48500.000899/2017-11","875/2020","Alto Chopim Energia SPE Ltda. ","2.095","9/19/2018","9/19/2021","26°18'48,29""S","52°5'19,9""W"
"Alvorada I","PCH","DRS-PCH","GO","24","Corrente","Paranaiba","48500.000275/2014-42","875/2020","Minas PCH S.A.; Guerra Lage Engenheiros Associados Ltda.; ","3.278","11/27/2019","12/20/2022","19°4'0""S","51°10'30""W"
"Amparo","PCH","DRS-PCH","SC","7.5","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.002238/2007-14","875/2020","Adami S.A. - Madeiras ","10/2016 (Cautelar nº 1936/2019)","","","26°41'50""S","51°51'19,5""W"
"Ampére","PCH","DRS-PCH","PR","9.99","Capanema","Parana, Iguacu","48500.006138/2008-73","875/2020","GRX Engenharia Ltda. ","776","3/19/2020","1/19/2023","25°56'19""S","53°33'57""W"
"Andromix","PCH","DRS-PCH","SC","8.6","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.003378/2015-45","875/2020","Andromix Geração de Energia Ltda. ","1.209","5/4/2020","5/4/2023","27°6'55""S","51°18'38""W"
"Angatu I","PCH","DRS-PCH","MT","27","Cuiabá","Alto Paraguai","48500.003563/2016-11","875/2020","Maturati Participações S.A; Meta Serviços e Projetos Ltda.; ","1.478","6/1/2017","6/1/2020","15°8'49,04""S","56°27'2,46""W"
"Angatu II Montante","PCH","DRS-PCH","MT","19.89","Cuiabá","Alto Paraguai","48500.003442/2016-79","875/2020","Maturati Participações S.A; Meta Serviços e Projetos Ltda.; ","658","3/26/2018","3/26/2021","14°55'57,41""S","56°25'25,93""W"
"Antoninha","PCH","DRS-PCH","SC","19","Lava Tudo","Pelotas","48500.005069/2011-86","875/2020","Msul Energias Renováveis Ltda.; Trix Engenharia Civil Ltda.; ","3.446","12/16/2019","1/11/2023","28°14'43""S","50°13'17""W"
"Aparecida","PCH","DRS-PCH","SC","7.5","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.001359/2015-84","875/2020","Frigorífico Nutribrás Ltda.; Enebras Projetos De Usinas Hidrelétricas Ltda.; Da Luz Energia Ltda. , Agrícola Guerra Ltda. - EPP. , Prainha Camping Turismo Ltda. - ME","2.806","11/17/2016","4/26/2022","26°34'39""S","52°17'28,32""W"
"Apertados","UHE","Aceito","PR","135.5","Piquiri","Parana, Paranapanema, Amambai e outros","48500.001821/2010-39 e 48500.005190/2010-27","875/2020","Copel Geração e Transmissão S.A e Statkraft Energias Renováveis S.A ","1.138 (Pub. 10/04/2012) e 4.388 (Pub. 26/11/2009)","","","24°12'36""S","53°19'35""W"
"Apiúna","PCH","DRS-PCH","SC","27","Itajaí-Açu","Itajai","48500.006171/2005-25","875/2020","Apiúna Energia Ltda. ","657","3/28/2018","3/28/2021","27°4'41,575""S","49°26'37,823""W"
"Aporé","PCH","DRI-PCH","GO/MS","14","Aporé","Paranaiba","48500.003047/2020-72","875/2020","Enebras Projetos de Usinas Hidrelétricas; Enebras Projetos de Usinas Hidrelétricas; ","1.816","6/25/2020","8/25/2021","18°58'26""S","51°56'41""W"
"Araras","PCH","DRS-PCH","GO","6.6","das Almas","Tocantins, entre os rios Preto e Parana","48500.006902/2008-19","875/2020","Triton Energia Ltda. ","1.218","5/5/2020","3/31/2023","13°50'32""S","47°20'39""W"
"Araras","PCH","DRS-PCH","MT","9.5","Jauquara","Alto Paraguai","48500.001760/2016-03","875/2020","Prospecto Participações e Negócios Ltda. ","1.302","6/14/2018","6/14/2021","15°21'6,3""S","56°58'50,36""W"
"Aré","PCH","DRS-PCH","RJ","13.1","Muriaé","Paraiba do Sul","48500.006679/2008-00","875/2020","Rodrigo Pedroso Energia Ltda. ","3.362/2016 (Comunicado nº 08/2020)","","","21°15'3""S","41°47'43""W"
"Areado","PCH","DRS-PCH","MG","11.5","Ribeirão Areado","Das Velhas - Sao Francisco","48500.002954/2008-16","875/2020","LH Engenharia e Mineração Ltda.; Lig Móbile Telecomunicações Ltda.; ","3196","9/11/2015","9/11/2021","18°38'47,28""S","45°52'59,06""W"
"Areias","PCH","DRS-PCH","GO","12.5","Pilões","Alto Araguaia e rio Claro","48500.003567/2014-37","875/2020","CCB Energia S.A. ","1.218","5/5/2020","3/1/2023","16°20'54,71""S","50°46'47,59""W"
"Ari Franco","PCH","DRS-PCH","GO","26","Claro","Paranaiba","48500.003771/2011-13","875/2020","CELG Geração e Transmissão S.A.; FR Incorporadora Ltda.; EDP - Grupo Energest S.A., Construtora Queiroz Galvão S.A","3.157/2016 (Cautelar nº 1936/2019)","","","18°18'2,2""S","51°19'35,7""W"
"ARN-120 (Castanheira)","UHE","Aceito","MT","140","Arinos","Tapajos","48500.004214/2011-10","875/2020","Empresa de Pesquisa Energética - EPE ","1312","6/27/2016","","11°4'39""S","57°45'26""W"
"Arrieiros","PCH","DRS-PCH","PR","13","Ribeira do Iguape","Ribeira do Iguape","48500.005174/2008-10","875/2020","CELER – Centrais Elétricas do Rio Ribeira ","3.452","10/27/2017","10/27/2020","24°56'24,97""S","49°33'44,559""W"
"Arroio da Reserva","PCH","DRI-PCH","RS","5.85","Arroio da Reserva","Alto Jacui","48500.004383/2020-32","875/2020"," ","2.479","8/28/2020","10/28/2021","29°11'15,96""S","53°20'42,46""W"
"Assombrado","PCH","DRS-PCH","SC","16.5","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.003117/2015-25","875/2020","RTK Engenharia Ltda ","505","3/13/2018","3/13/2021","27°15'32,61""S","51°32'22,82""W"
"Atafona","PCH","DRI-PCH","RS","15.1","Ijuí","Uruguai, Ijui, piratinim e outros","48500.002063/2020-48","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Frigorífico Nutribrás S.A.; Enebras Tecnologia Industrial Ltda., Coprel Cooperativa
de Geração de Energia e Desenvolvimento e à Cooperativa de Geração de Energia e Desenvolvimento Social Ltda.","1.398","5/20/2020","7/20/2021","28°20'44,33""S","54°20'47,14""W"
"Aurora","PCH","DRS-PCH","MA","9.1","Mearim","Pindare, Itapecuru, Mearim e outros","48500.003932/2008-65","875/2020","Rodrigo Pedroso Energia Ltda. ","3.094/2016 (Comunicado nº 08/2020)","","","5°44'50,9""S","45°45'48,5""W"
"Avuadeira","PCH","DRS-PCH","MT","22","das Garças","Alto Araguaia e rio Claro","48500.005584/2011-66","875/2020","Garças Energias e Participações S.A; Desa Rio das Garças Desenvolvimento Energético S.A.; ","1.218","5/5/2020","3/16/2023","15°59'24,219""S","53°25'16,313""W"
"Bacuri","PCH","DRS-PCH","GO","6.15","São Francisco","Paranaiba","48500.003401/2011-78","875/2020","Omega Desenvolvimento de Energia 1 S.A. ","561","2/24/2017","2/24/2020","18°21'59,477""S","50°22'3,434""W"
"Bacuri","PCH","DRS-PCH","MT","21.9","Ponte de Pedra","Tapajos","48500.005193/2002-80","875/2020","Empreendimentos Patrimoniais Santa Gisele Ltda. ","231/2016 (Cautelar nº 1936/2019)","","","13°37'32""S","57°23'29""W"
"Baixo Verde I","UHE","DRS-UHE","MS","27","Verde","Parana, Verde , Peixe, e outros","48500.001216/2014-91","875/2020","Minas PCH S.A ","2.855/2017 (Cautelar nº 1936/2019)","","","20°45'53,5""S","52°33'45""W"
"Baixo Verde III","UHE","DRS-UHE","MS","25","Verde","Parana, Verde , Peixe, e outros","48500.001442/2014-72","875/2020","Minas PCH S.A. ","2856","9/12/2017","9/12/2020","21°1'51""S","52°7'36""W"
"Balsa da Cachoeira","PCH","DRS-PCH","MG","20","Sapucaí","Grande","48500.003341/2014-36","875/2020","Minas PCH S.A.; Guerra Lage Engenheiros Associados Ltda.; ","164","1/29/2020","1/20/2023","21°32'9""S","45°41'49""W"
"Bandeira","PCH","DRS-PCH","PR","28","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003089/2010-31","875/2020","Statkraft Energias Renováveis S.A. ","2.432","10/25/2018","10/25/2021","25°0'40""S","52°33'42""W"
"Barbosa Ferraz","PCH","DRS-PCH","PR","13.2","Corumbataí","Parana, Paranapanema, Amambai e outros","48500.005394/2015-72","875/2020","Grantec Técnica de Construção Ltda. ","1.218","5/5/2020","3/23/2023","24°2'55,81""S","51°56'49,67""W"
"Barra de Ferro","PCH","DRS-PCH","RS","6.8","Pardo","Alto Jacui","48500.004589/2011-71","875/2020","Três Fronteiras Geração de Energia Ltda. ","774","3/19/2020","12/13/2022","29°17'24,07""S","52°42'21,56""W"
"Barra do Ituim","PCH","DRS-PCH","RS","7.4","Turvo","Taquari","48500.000951/2013-05","875/2020","Vale do Turvo Hidrelétrica Ltda. ","3.226","11/26/2019","1/25/2023","28°38'55,775""S","51°24'41,489""W"
"Barra do Jaguari","PCH","Registro Ativo","MS","25.7","Amambaí","Parana, Paranapanema, Amambai e outros","48500.001176/2015-69 e 48500.002366/2015-01","875/2020","Ecoger - Ecologino Geração de Energia em Matriz Renovável Ltda. E Omega Desenvolvimento de Energia 1 S.A. ","932 (Pub: 06/04/2015) e 1.912 (Pub: 11/06/2015)","","","22°54'5,099""S","54°54'13,977""W"
"Barra do Pinheiro","PCH","DRS-PCH","SC","14.7","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.003448/2015-65","875/2020","RTK Engenharia Ltda ","1.917","7/7/2020","5/20/2023","27°21'37,79""S","51°44'10,31""W"
"Barra do Telha","PCH","DRS-PCH","RS","9.3","Ituim","Taquari","48500.005331/2014-35","875/2020","Ecoz Empreendimentos Imobiliários Ltda; Enebras Projetos de Usinas Hidrelétricas Ltda; Sandro Botta (CPF n° 618.220.009-04, Daniel Zonta","1.723","2/10/2019","2/10/2022","28°35'00""S","51°19'43""W"
"Barra dos Caixões","PCH","DRS-PCH","RS","9.9","Jacuizinho","Alto Jacui","48500.001077/2015-87","875/2020","Barra dos Caixões Empreendimentos em Energia Ltda ","41","1/21/2019","4/15/2022","29°11'54,91""S","53°4'23,03""W"
"Barracão","PCH","DRS-PCH","RS","9.8","Bernardo José","Pelotas","48500.005954/2013-27","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda; Cooperativa de Geração de Energia e Desenvolvimento Social Ltda. - Ceriluz; ","1.218","5/5/2020","3/14/2020","27°49'10,18""S","51°22'26,47""W"
"Barreiro","PCH","DRI-PCH","MS","24.1","Pardo","Parana, Verde , Peixe, e outros","48500.004029/2020-16","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda; Hacker Industrial Ltda; ","2.307","8/10/2020","10/10/2021","21°34'43""S","53°0'37""W"
"Barro Preto","PCH","DRS-PCH","MG","20","Manhuaçu","Doce","48500.005529/2011-76","875/2020","Minas PCH S.A. ","2836","9/8/2017","9/8/2020","19°31'46,677""S","41°27'11,076""W"
"Baru","PCH","DRS-PCH","MS","5.1","Taquarizinho","Alto Paraguai","48500.005306/2018-85","875/2020","Black Suffolk Participações e Assessoria Ltda. ","1.759","6/22/2020","6/22/2023","18°36'04,7""S","54°45'31,93""W"
"Beira Rio","PCH","DRS-PCH","PR","18.15","Jaguariaíva","Parana, Paranapanema, Amambai e outros","48500.005114/2015-26","875/2020","Pesqueiro Energia S.A. ","1.218","5/5/2020","3/23/2023","24°6'49""S","49°37'58""W"
