"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"Cabaçal 5","PCH","DRS-PCH","MT","6.5","Cabaçal","Alto Paraguai","48500.005936/2014-26","875/2020","São José Energia PCHs Ltda. ","1.712","6/17/2019","5/30/2022","15°6'24,98""S","58°28'38,17""W"
"Cabaçal 6","PCH","DRS-PCH","MT","6.75","Cabaçal","Alto Paraguai","48500.005943/2014-28","875/2020","São José Energia PCHs Ltda. ","1.714","6/17/2019","5/30/2022","15°6'24,34""S","58°29'36,68""W"
"Cabrito","PCH","Aceito","RS","12","da Várzea","Uruguai, Varzea, Turvo e outros","48500.004758/2003-00","875/2020","Central Hidrelétrica Cabrito Ltda. ","1921","11/23/2005","","27°53'11""S","53°2'41""W"
"Cachimbo","PCH","DRS-PCH","MT","9.502","Braço Sul","Tapajos","48500.005658/2017-50","875/2020","Prospecto Participações e Negócios Ltda.; Vila Energia Renovável Ltda; ","2.975","11/6/2019","11/6/2022","9°48'20,58""S","54°52'59,78""W"
"Cachoeira","PCH","DRS-PCH","GO","21","Piracanjuba","Paranaiba","48500.002516/2011-45","875/2020","FR Incorporadora Ltda. ","52","1/13/2020","12/20/2022","16°56'31,354""S","48°4'56,177""W"
"Cachoeira","PCH","DRS-PCH","TO","5.5","Ribeirão do Inferno","Tocantins, entre os rios Preto e Parana","48500.000487/2008-81","875/2020","Agrícola Sete Campos Ltda. ","2.841","10/21/2019","1/13/2022","11°57'48,87""S","46°31'12,83""W"
"Cachoeira","PCH","DRS-PCH","MA","9","Cachoeira","Parnaiba","48500.001151/2016-46","875/2020","PEC Energia S.A. ","769","4/13/2018","4/13/2021","7°9'52,69""S","46°4'8,01""W"
"Cachoeira Água Preta","PCH","DRS-PCH","AM","30","Ituxi","Amazonas, entre o lago Coari e o rio Purus","48500.000091/2015-63","875/2020","Norte Sul Geração de Energia Ltda. ","1.218","5/5/2020","2/23/2023","8°52'1,421""S","66°10'57,796""W"
"Cachoeira Alegre","PCH","DRS-PCH","RJ","12","Pomba","Paraiba do Sul","48500.002620/2009-15","875/2020","Rodrigo Pedroso Energia Ltda ","3.408/2016 (Comunicado nº 08/2020)","","","21°30'21""S","42°12'53""W"
"Cachoeira Branca","PCH","DRI-PCH","MS","21","Pardo","Parana, Verde , Peixe, e outros","48500.004665/2019-04","875/2020","Flamarpar Investimentos S.A. ","2.652","9/27/2019","11/27/2020","20°51'36""S","53°25'36""W"
"Cachoeira Caracol","PCH","DRS-PCH","AM","25","Endimari","Amazonas, entre o lago Coari e o rio Purus","48500.000092/2015-16","875/2020","Norte Sul Geração de Energia Ltda. ","1.218","5/5/2020","6/21/2023","8°48'17,6""S","66°10'48""W"
"Cachoeira Comprida","PCH","DRS-PCH","MG","20.8","Abaeté","Das Velhas - Sao Francisco","48500.002527/2003-16","875/2020","Sigma Energia S.A ","869","4/11/2017","4/11/2020","18°5'9""S","45°23'42""W"
"Cachoeira da Fumaça","PCH","DRS-PCH","MG","8","Tronqueiras","Doce","48500.003700/2015-36","875/2020","Brix Empreendimentos Imobiliários Ltda. ","2195","11/22/2018","11/22/2021","18°44'18,46""S","42°18'11,6""W"
"Cachoeira do Caí","UHE","Registro Ativo","PA","802","Jamanxim","Tapajos","48500.004332/2009-03","875/2020","Consórcio Tapajos: Centrais Elétricas Brasileiras - S.A., Centrais Elétricas do Norte do Brasil S.A. – Eletronorte, Construções e Comércio Camargo Corrêa S.A. - CCCC, Eletricité France S.A. - EDF, CEMIG Geração e Transmissão S.A. - CEMIG GT, COPEL Geração ","1.446","5/25/2020","12/31/2021","5°5'5""S","56°28'5""W"
"Cachoeira do Codó","PCH","DRS-PCH","PA","15","Itapacurá","Tapajos","48500.006883/2013-80","875/2020","Croma Participação e Empreendimentos Ltda. ","1.917","7/7/2020","5/19/2023","4°25'3""S","56°3'1""W"
"Cachoeira do Diamante","PCH","DRS-PCH","MG","5.89","Sapucaí-Guaçu","Grande","48500.005686/2014-24","875/2020","Mineração Correa Ltda. ","938","4/2/2019","6/21/2022","22°38'0,166""S","45°29'11,921""W"
"Cachoeira do Ébrio","PCH","DRS-PCH","PA","23","Itapacurá","Tapajos","48500.006884/2013-24","875/2020","Croma Participação e Empreendimentos Ltda. ","778","3/19/2020","2/6/2023","4°25'42,287""S","55°58'59,054""W"
"Cachoeira do Inferno","PCH","DRS-PCH","MG","9.6","Ingaí","Grande e outros - Sao Francisco","48500.005849/2002-18","875/2020","Luzboa Dois S.A. ","2.213","7/31/2020","4/8/2023","21°34'26,28""S","44°57'4,88""W"
"Cachoeira do Meia Ponte","PCH","DRS-PCH","GO","29","Meia Ponte","Paranaiba","48500.005611/2010-10","875/2020","Minas PCH S.A.; Celg Geração & Transmissão S.A.; Sonnen Empreendimentos e Participações Ltda.","1.218","5/5/2020","1/17/2023","18°10'11,383""S","49°31'14,158""W"
"Cachoeira do Meio","PCH","DRS-PCH","AM","30","Ituxi","Amazonas, entre o lago Coari e o rio Purus","48500.000089/2015-94","875/2020","Norte Sul Geração de Energia Ltda ","1.218","5/5/2020","1/19/2023","8°50'25,14""S","66°10'10,99""W"
"Cachoeira dos Patos","UHE","Registro Ativo","PA","528","Jamanxim","Tapajos","48500.004336/2009-83","875/2020","Consórcio Tapajós: Centrais Elétricas Brasileiras - S.A., Centrais Elétricas do Norte do Brasil S.A. – Eletronorte, Construções e Comércio Camargo Corrêa S.A. - CCCC, Eletricité France S.A. - EDF, CEMIG Geração e Transmissão S.A. - CEMIG GT, COPEL Geração ","1.447","5/25/2020","12/31/2020","5°54'59""S","55°45'36""W"
"Cachoeira Fortaleza","PCH","DRS-PCH","AM","30","Ituxi","Amazonas, entre o lago Coari e o rio Purus","48500.000093/2015-52","875/2020","Norte Sul Geração de Energia Ltda. ","1.218","5/5/2020","2/10/2023","8°50'3,74""S","66°8'57,971""W"
"Cachoeira São José","PCH","DRS-PCH","AM","27","Endimari","Amazonas, entre o lago Coari e o rio Purus","48500.000090/2015-19","875/2020","Norte Sul Geração de Energia Ltda. ","1.218","5/5/2020","1/20/2023","8°48'6,52""S","66°8'53,77""W"
"Cachoeirão","UHE","DRS-UHE","MT","43","Juruena","Tapajos","48500.005730/2016-68","875/2020","Maggi Energia S.A. ","2.489","8/31/2020","8/31/2023","12°59'21,892""S","58°57'29,153""W"
"Cachoeirinha","PCH","DRS-PCH","GO","13.5","Piracanjuba","Paranaiba","48500.002521/2011-58","875/2020","FR Incorporadora Ltda. ","55","1/13/2020","12/20/2022","16°50'37,56""S","48°4'36,87""W"
"Cachoeirinha","PCH","DRS-PCH","MS","23","Indaiá Grande","Parana, Verde , Peixe, e outros","48500.000564/2014-41","875/2020","Minas PCH S.A; Autazes Empreendimentos e Participações Ltda; Orteng Energia Ltda","2850","9/12/2017","9/12/2020","19°29'1""S","52°28'21""W"
"Caçununga","PCH","DRS-PCH","MT","12.6","das Garças","Alto Araguaia e rio Claro","48500.005579/2011-53","875/2020","Garças Energias e Participações S.A.; Desa Rio das Garças Desenvolvimento Energético S.A.; ","778","3/19/2020","2/10/2023","16°3'21,4""S","53°30'37""W"
"Cadeado","PCH","DRS-PCH","PR","19","Chopim","Alto Paraguai","48500.001863/2014-01","875/2020","Minas PCH S.A.; Eletroriver S.A.; ","2.694","12/21/2018","12/7/2021","26°17'38""S","52°14'16""W"
"Caiçara","PCH","DRS-PCH","BA/MG","19.5","Carinhanha","Corrente e outros - Sao Francisco","48500.006086/2009-16","875/2020","Minas PCH S.A. ","1.218","5/5/2020","3/16/2023","14°41'45,42""S","45°3'2,664""W"
"Caiuá 3","PCH","DRS-PCH","MG","9.002","Araguari","Paranaiba","48500.005696/2014-60","875/2020","Primo Energética Ltda. ","1647","7/26/2018","3/7/2020","19°29'45""S","47°32'7""W"
"Campo Limpo","PCH","DRS-PCH","GO","26","Meia Ponte","Paranaiba","48500.005612/2010-64","875/2020","Minas PCH S.A.; CELG Geração & Transmissão S.A.; Sonnen Empreendimentos e Participações Ltda.","1.218","5/5/2020","1/17/2023","18°17'1,785""S","49°35'10,061""W"
"Canamã","PCH","DRS-PCH","MT","8.501","Canamã","Madeira","48500.005797/2017-83","875/2020","Primus Incorporação e Construção Ltda. ","1.205","4/29/2019","4/29/2022","10°23'42,06"" S","58°52'52,58"" W"
"Candeia","PCH","DRS-PCH","PA","8","Igarapé Santa Cruz","Tapajos","48500.000059/2013-16","875/2020","CIENGE Engenharia e Comércio Ltda. ","3.443/2017 (Cautelar nº 1936/2019)","","","4°23'18""S","55°30'46""W"
"Canoas","PCH","DRS-PCH","MG","20.99","Abaeté","Das Velhas - Sao Francisco","48500.002528/2003-71","875/2020","Sigma Energia S.A ","402","2/28/2018","2/28/2021","18°7'32""S","45°28'29""W"
"Canoas I Alto","PCH","DRS-PCH","SC","30","Canoas","Canoas","48500.004832/2017-47","875/2020","Statkraft Energias Renováveis S.A. ","75","1/15/2019","1/15/2022","27°26'28""S","50°40'32""W"
"Cantagalo","PCH","DRS-PCH","MG","30","Piranga","Doce","48500.002650/2007-60","875/2020","Rima Industrial S.A. ","1262","5/10/2017","5/10/2020","20°28'0""S","43°0'0""W"
"Canto do Rio","UHE","Aceito","MA/PI","44","Parnaíba","Parnaiba","48500.001793/2011-31","875/2020","Minas PCH S.A.; Empresa Comercializadora de Energia Ltda - ECE; ","2.968","7/20/2011","","8°37'1""S","45°47'18""W"
"Capão Comprido","PCH","DRS-PCH","GO","16.5","do Peixe","Paranaiba","48500.003160/2011-67","875/2020","FR Incorporadora Ltda. ","24","1/8/2020","11/30/2022","17°27'44,53""S","48°30'26,27""W"
"Capela","PCH","DRS-PCH","PR","7","Lajeado das Torres","Parana, Iguacu","48500.001270/2011-94","875/2020","Cooperativa Agrária Agroindustrial ","3.258","11/26/2019","9/21/2022","25°48'35,64""S","51°59'28,49""W"
"Caratuva","PCH","DRS-PCH","PR","9.9","Alto Ribeira","Parana, Paranapanema, Amambai e outros","48500.001824/2018-20","875/2020","Gromowski Gestão de Negócios Eireli ","2.056","7/29/2019","7/29/2022","24°58'31""S","49°35'44""W"
"Carnaúba","PCH","DRS-PCH","PA","11","Cupari (Cupari Braço Leste)","Tapajos","48500.000058/2013-71","875/2020","CIENGE Engenharia e Comércio Ltda. ","2.995/2016 (Cautelar nº 1936/2019)","11/22/2016","11/22/2019","4°7'16""S","55°0'25""W"
"Casa Velha","PCH","DRS-PCH","SC","14","Pelotas","Pelotas","48500.001401/2012-14","875/2020","BE - Empresa de Estudos Energéticos Ltda. ","774","3/19/2020","12/19/2022","28°27'10,727""S","49°53'29,426""W"
"Cascudo","PCH","DRS-PCH","PR","23.004","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003706/2010-07","875/2020","Omega Desenvolvimento de Energia 1 S.A. ","2.751","9/5/2017","9/5/2020","24°55'49""S","52°36'46""W"
"Cassilândia","PCH","DRS-PCH","MS","23.4","Aporé","Paranaiba","48500.000019/2017-06","875/2020","EDP Pequenas Centrais Hidroelétricas S.A. ","1.153","4/27/2017","4/27/2020","19°6'51,533""S","51°42'20,252""W"
"Castanheira","PCH","DRS-PCH","PA","21","Cupari (Cupari Braço Leste)","Tapajos","48500.000817/2013-04","875/2020","CIENGE Engenharia e Comércio Ltda. ","1.388/2017 (Cautelar nº 1936/2019)","","","4°4'58""S","55°2'38""W"
"Catanduva","PCH","DRS-PCH","PR","18","Iratim","Parana, Iguacu","48500.003170/2016-15","875/2020","Catanduva Geração de Energia Ltda. ","4.137","12/12/2017","12/12/2020","26°11'24,74""S","51°49'34,27""W"
"Catumbi","PCH","DRS-PCH","BA/MG","14.16","Carinhanha","Corrente e outros - Sao Francisco","48500.005175/2008-64","875/2020","Catumbi Energia Hidrelétrica Ltda. ","2.523","9/1/2020","7/29/2023","14°39'12,635""S","44°58'58,206""W"
"Cavernoso VIII","PCH","DRS-PCH","PR","5.2","Cavernoso","Parana, Iguacu","48500.003090/2015-71","875/2020","Energética Rodão Ltda. ","1.792","7/4/2017","7/4/2020","25°18'17,7""S","51°58'13,5""W"
"CC-44-03","PCH","DRS-PCH","MT","9.75","Ribeirão Quarenta e Quatro","Madeira","48500.003475/2014-57","875/2020","Césio Silva Lemos ","1.850","7/18/2019","7/29/2022","14°1'11,2""S","59°41'0,85""W"
"Ceres","PCH","DRS-PCH","GO","26","Das Almas","Tocantins, entre os rios Preto e Parana","48500.000655/2007-41","875/2020","EDP Energias do Brasil S.A. ","1.925","8/28/2018","8/28/2021","15°20'24,5""S","49°34'54,2""W"
"Cerquinha II","PCH","DRS-PCH","RS","9.5","Cerquinha","Pelotas","48500.000650/2010-21","875/2020","Cerquinha II Energética S.A. ","2.003","7/23/2019","3/30/2022","28º 31’ 55,59” S","50º 14’ 26,22” W"
"Chalé","PCH","DRS-PCH","SP","12.5","Paraíba do Sul","Paraiba do Sul","48500.001215/2006-01","875/2020","Paloma Incorporações de Imóveis Ltda. ","871","3/31/2017","3/31/2020","22°33'53,85""S","44°54'31,88""W"
"Chapéu","PCH","DRS-PCH","GO","27","Meia Ponte","Paranaiba","48500.005594/2010-11","875/2020","Minas PCH S.A.; Celg Geração & Transmissão S.A.; Sonnen Empreendimentos e Participações Ltda.","1.218","5/5/2020","1/17/2023","17°39'15,112""S","49°24'38,583""W"
"Chico França","PCH","DRS-PCH","MT","15.5","das Garças","Araguaia, trecho da ilha Bananal","48500.006167/2011-31","875/2020","PEC Energia Ltda. ","776","3/19/2020","1/2/2023","16°19'45,93""S","53°34'40,51""W"
"Chimarrão","PCH","DRS-PCH","RS","11.5","Turvo","Taquari","48500.003310/2006-02","875/2020","Chimarrão Energética S.A. ","511","2/27/2019","2/26/2022","28°36'16,24""S","51°24'8,1""W"
"Cinco Cantos","PCH","DRS-PCH","PR","7","São Francisco Verdadeiro","Parana, Paranapanema, Amambai e outros","48500.006132/2008-04","875/2020","M.P Energia Ltda. ","1.218","5/5/2020","3/8/2023","24°44'16,038""S","54°0'47,803""W"
"Cocal","PCH","DRS-PCH","GO","7","Arraial Velho","Alto Tocantins e rio Preto","48500.003519/2007-10","875/2020","Rimex Energética e Mineradora Ltda. ","3.250","11/26/2019","10/5/2022","15°5'12""S","47°53'33""W"
"Côco","PCH","DRS-PCH","MA","13.7","Mearim","Pindare, Itapecuru, Mearim e outros","48500.003818/2008-35","875/2020","Rodrigo Pedroso Energia Ltda. ","1.917","7/7/2020","5/26/2023","5°20'41,14""S","45°5'18,2""W"
"Colibri","PCH","DRS-PCH","MT","10","Córrego da Pratinha","Alto Paraguai","48500.003599/2017-85","875/2020","MALV Empreendimentos e Participações S.A; ATHIVALOG Logística Ltda.; ","83","1/21/2019","1/21/2022","16°15'45,15"" S","55°27'18,11"" W"
"Colinas","PCH","DRS-PCH","GO","26","Tocantinzinho","Alto Tocantins e rio Preto","48500.004031/2007-18","875/2020","RC Administração e Participações S.A. ","774","3/19/2020","12/2/2022","14°13'21,128""S","48°3'4,034""W"
"Comissário","UHE","Aceito","PR","105.3","Piquiri","Parana, Paranapanema, Amambai e outros","48500.001823/2010-28 e 48500.005189/2010-01","875/2020","Copel Geração e Transmissão S.A e Statkraft Energias Renováveis S.A ","1.140 (Pub. 10/04/2012) e 2.587 (Pub. 20/08/2012)","","","24°25'04""S","53°09'06""W"
"Concórdia","PCH","DRS-PCH","GO","28.4","Tocantinzinho","Alto Tocantins e rio Preto","48500.005848/2016-96","875/2020","RC Administração e Participações S.A. ","2.635","8/28/2017","8/28/2020","14°19'50,72""S","47°50'15,48""W"
"Conde D’Eu","PCH","DRI-PCH","RJ","9.6","Paquequer","Paraiba do Sul","48500.003677/2020-47","875/2020","Múltipla Participações Ltda. ","2.247","7/31/2020","9/30/2021","22°8'23,491""S","42°39'10,882""W"
"Coqueiro","PCH","DRI-PCH","PR","28.1","Ivaí","Parana, Paranapanema, Amambai e outros","48500.000132/2020-89","875/2020","Norte Participações e Investimentos S.A. ","365","2/13/2020","4/13/2021","24°7'58""S","51°34'31,2""W"
"Cor 108","PCH","DRS-PCH","GO","30","Corumbá","Paranaiba","48500.000429/2015-87","875/2020","Tradener Ltda.; Lausimar Aparecida Lôbo Arruda.; Ênio Rincon Arruda, Euclides Barbosa da Silva,  Maura Rodrigues da Silva, Giovana Maria Rincon Gonçalves Lôbo,  Guilherme Rodrigues Lôbo.","278","4/6/2020","12/26/2022","17°27'25,62""S","48°21'11,21""W"
"Cor 113","PCH","DRS-PCH","GO","30","Corumbá","Paranaiba","48500.005632/2014-69","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","3.154","11/14/2019","12/26/2022","17°26'51,19""S","48°18'40,55""W"
"Cor 118","PCH","DRS-PCH","GO","30","Corumbá","Paranaiba","48500.005621/2014-89","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","3.151","11/14/2019","12/26/2022","17°26'2,44""S","48°17'27,73""W"
"Cor 125","PCH","DRS-PCH","GO","30","Corumbá","Paranaiba","48500.000409/2015-14","875/2020","Tradener Ltda.; Norma Santinoni Vera; Francisco Manoel da Rocha Pombo Vera Filho,	 Nivaldo de Paula Ribeiro	, Maria José Ribeiro.","279","4/6/2020","12/30/2022","17°23'39,68""S","48°15'49,16""W"
"Cor 140","PCH","DRS-PCH","GO","30","Corumbá","Paranaiba","48500.005635/2014-01","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","3.152","1/3/2019","1/3/2023","17°19'33,4""S","48°13'42""W"
"Cor 151","PCH","DRS-PCH","GO","20","Corumbá","Paranaiba","48500.005634/2014-58","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","1.616","6/10/2019","7/4/2022","17°16'57,52""S","48°8'26,21""W"
"Cor 164","PCH","DRS-PCH","GO","20","Corumbá","Paranaiba","48500.005626/2014-10","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","1.617","6/10/2019","7/4/2022","17°13'48.514""S","48°4'34.412""W"
"Cor 174","PCH","DRS-PCH","GO","24","Corumbá","Paranaiba","48500.000259/2015-31","875/2020","Alupar Investimento S.A. ","2.423","9/15/2016","9/15/2019","17°11'41,912""S","48°1'56,78""W"
"Cor 181","PCH","DRS-PCH","GO","25","Corumbá","Paranaiba","48500.005620/2014-34","875/2020","OPTIGERA S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","778","3/19/2020","2/6/2023","17°9'5,996""S","48°0'46,127""W"
"Cor 188","PCH","DRS-PCH","GO","20","Corumbá","Paranaiba","48500.005623/2014-78","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","778","3/19/2020","2/8/2023","17°6'7,765""S","47°59'45,264""W"
"Cor 194","PCH","Registro Ativo","GO","21.7","Corumbá","Paranaiba","48500.000247/2015-14","875/2020","Alupar Investimento S.A. ","321","2/11/2015","1/19/2016","17°4'15,5""S","47°58'38,376""W"
"Cor 201","PCH","DRS-PCH","GO","20","Corumbá","Paranaiba","48500.005627/2014-56","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","1.218","5/5/2020","3/9/2023","17°2'10,388""S","47°56'13,798""W"
"Cor 207","PCH","Registro Ativo","GO","21.6","Corumbá","Paranaiba","48500.000248/2015-51","875/2020","Alupar Investimento S.A. ","323","2/11/2015","1/19/2016","17°0'18,92""S","47°55'1,59""W"
"Cor 223","PCH","DRS-PCH","GO","20","Corumbá","Paranaiba","48500.005625/2014-67","875/2020","Optigera S.A.; VOTENER - Votorantim
Comercializadora de Energia Ltda; ","1.436","5/21/2020","4/21/2023","16°54'20,83""S","47°53'12,75""W"
"Cor 232","PCH","DRS-PCH","GO","20","Corumbá","Paranaiba","48500.000252/2015-19","875/2020","Alupar Investimento S.A. ","762","3/27/2017","3/27/2020","16°51'21,98""S","47°53'19,2""W"
"Cor 80","PCH","DRS-PCH","GO","20","Corumbá","Paranaiba","48500.005633/2014-11","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","1.776","8/14/2018","8/14/2021","17°36'38,9""S","48°26'27,1""W"
"Cor 92","PCH","DRS-PCH","GO","30","Corumbá","Paranaiba","48500.005629/2014-45","875/2020","Optigera S.A.; VOTENER - Votorantim Comercializadora de Energia Ltda.; ","1.618","6/10/2019","6/6/2022","17°32'57,6""S","48°22'55,4""W"
"Coronel Barros","PCH","DRS-PCH","RS","8.5","Conceição","Uruguai, Ijui, piratinim e outros","48500.006875/2013-33","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Cooperativa de Geração de Energia e Desenvolvimento Social Ltda.; ","3.344","11/4/2019","12/2/2022","28°24'30""S","54°2'38""W"
"Corredeira","PCH","DRS-PCH","MT","10.5","Juba","Alto Paraguai","48500.002289/2003-21
","875/2020","Corredeiras Energética S.A. ","3.199/2015 (Comunicado nº 06/2018)","","","14°52'42,94""S","57°49'11,61""W"
"Corredeiras do Capivari","PCH","DRS-PCH","MG","8.68","Capivari","Paranaiba","48500.003696/2015-14","875/2020","Consórcio Figueirinha ","3.152","11/14/2019","1/3/2023","21°17'48""S","44°52'57""W"
"Córrego Alto","PCH","DRS-PCH","ES","6","Fruteiras","Litoraneas do Espirito Santo","48500.005051/2010-01","875/2020","GS Extração e Comércio de areia Ltda. ","1.513","5/31/2019","11/24/2022","20°38'14,705""S","41°0'46,102""W"
"Correntinha","PCH","DRS-PCH","GO","5.8","Ariranha","Paranaiba","48500.003655/2016-09","875/2020","FR Energia S.A. ","3.580","12/19/2019","12/15/2022","17°55'5,75""S","51°53'31,34""W"
"Corvo Branco","PCH","DRI-PCH","PR","7","São Francisco Falso Braço Norte ou Corvo Branco","Parana, Paranapanema, Amambai e outros","48500.001685/2020-88","875/2020","De Amorim Participações Ltda ","1.253","5/7/2020","7/7/2021","24°52'4,21""S","54°7'3,9""W"
"Cotegipe","PCH","DRS-PCH","MG","19.98","do Peixe","Paraiba do Sul","48500.003148/2005-05","875/2020","Energisa Soluções S.A. ","1739","8/15/2018","8/15/2021","21°52'37""S","43°25'1""W"
"Couto Magalhães (Antiga Cachoeira Couto de Magalhães)","UHE","Registro Ativo","GO/MT","188","Araguaia","Alto Araguaia e rio Claro","48500.001986/2019-49","875/2020","Pacto Geração e Transmissão S.A.; Mega Comercializadora de Energia Elétrica Ltda.; ","1.734","6/23/2020","6/23/2024","17°10'11""S","53°8'22""W"
"Coxilha Bonita","PCH","DRS-PCH","PR","7","Capanema","Parana, Iguacu","48500.006129/2008-82","875/2020","GRX Engenharia Ltda. ","1.218","5/5/2020","1/16/2023","25°53'11,753""S","53°35'2,826""W"
"Coxilha Rica","PCH","DRI-PCH","SC","17.4","Pelotinhas","Pelotas","48500.003936/2020-30 e 48500.003953/2020-77","875/2020","Múltipla Participações Ltda; Back Participações e Investimentos Ltda; Alfa – Gestão de Negócios Ltda","2.407","8/20/2020","10/20/2021","28°13'17""S","50°32'16""W"
"Criciúma","PCH","DRS-PCH","SC","6.5","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.001357/2015-95","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda, Nelson Francisco Martini e Danilo Martini; Frigorífico Nutribrás Ltda; Da Luz Energia Ltda., Nelson Francisco Martini 195.665.579-49 e Danilo Martini, 183.290.559-49","2.213","7/31/2020","6/11/2023","26°39'38,6""S","52°13'11,82""W"
"Cristalina","PCH","DRS-PCH","MT","13","Juruena","Tapajos","48500.006368/2017-23","875/2020","Maggi Energia S.A. ","2276","8/22/2019","8/22/2022","13°28'16,31""S","59°0'52,6""W"
"Cruz Velha","PCH","DRS-PCH","MG","28","Tijuco","Paranaiba","48500.002550/2006-72","875/2020","Alupar Investimentos S.A. ","1.119/2020(Comunicado nº 18 e 19/2020)","","","18°56'33,891""S","49°9'39,721""W"
"Cruzeiro do Sul","UHE","Registro Ativo","RS","43","Taquari","Taquari","48500.005300/2012-12","875/2020","Energias Complementares do Brasil – Geração de Energia Elétrica S.A ","3.200","10/16/2012","12/16/2013","29°36'32""S","51°57'1""W"
"Cumbuco","PCH","DRS-PCH","MT","17","Cumbuco","Araguaia, trecho da ilha Bananal","48500.000802/2015-08","875/2020","Cumbuco Energia Ltda. ","460","2/18/2020","11/8/2022","15°12'54,7""S","54°0'1,1""W"
"Cunha","PCH","DRS-PCH","SP","7.1","Paraitinga e Córrego do Meio","Paraiba do Sul","48500.000295/2014-13","875/2020","EBDE Energia S.A. ","145","1/19/2017","1/19/2020","22°49'31""S","44°43'19,8""W"
"Cupim","PCH","DRS-PCH","MG","10.8","Ribeirão do Fetal","Urucuia - Sao Francisco","48500.003983/2011-92","875/2020","Renova PCH Ltda ","3.210/2016 (Comunicado nº 13/2020","","","15°16'19""S","46°30'17""W"
"Curitibanos","PCH","DRS-PCH","SC","13.6","Marombas","Canoas","48500.004739/2010-66","875/2020","Energética Curitibanos S.A. ","2.371","9/13/2019","10/19/2022","27°12'6""S","50°40'39""W"
"Cutia Alto","PCH","DRS-PCH","MG","29.716","Tijuco","Paranaiba","48500.002665/2006-94","875/2020","Alupar Investimentos S.A. ","1.119/2020(Comunicado nº 18/2020)","","","18°56'56,066""S","49°19'34,992""W"
"D6","PCH","DRS-PCH","PR","10","Apucaranae o afluente, Rio Preto","Parana, Paranapanema, Amambai e outros","48500.005584/2016-71","875/2020","MSUL Energias Renováveis Ltda. ","1.003","5/9/2018","5/9/2021","23°53'20,87""S","50°58'19,59""W"
"Da Potinga","PCH","DRS-PCH","PR","6.5","Potinga","Parana, Iguacu","48500.003894/2015-70","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Da Potinga Geração de Energia Elétrica SPE Ltda; ","1.504","6/1/2020","12/28/2022","25°45'27,5""S","51°9'4,61""W"
"Dália","PCH","DRS-PCH","MT","10.5","Ariranha","Alto Paraguai","48500.001272/2011-83","875/2020","Orteng Energia Ltda. ","1.170","5/3/2019","5/3/2022","17°32'47""S","53°34'19""W"
"Dalsasso","PCH","DRS-PCH","RS","10.5","Turvo","Taquari","48500.000964/2013-76","875/2020","Vale do Turvo Hidrelétrica Ltda. ","3.230","11/26/2019","1/25/2023","28°43'41,775""S","51°26'3,851""W"
"Das Missões","PCH","DRI-PCH","RS","13.86","Ijuí","Uruguai, Ijui, piratinim e outros","48500.002084/2020-63","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; à Frigorífico Nutribrás S.A.; Enebras Tecnologia Industrial Ltda., Coprel Cooperativa de Geração de Energia e Desenvolvimento, Cooperativa de Geração de Energia e Desenvolvimento Social Ltda.","1.399","5/20/2020","7/20/2021","28°19'4,2""S","54°23'21,2""W"
"Desemboque","PCH","DRS-PCH","MG","12.73","Araguari","Paranaiba","48500.001595/2014-10","875/2020","Autazes Empreendimentos e Participações Ltda. ","459","2/18/2019","12/6/2022","19°53'34,7""S","47°7'30,23""W"
"Diamante IV","PCH","DRS-PCH","SC","21.75","Correntes","Canoas","48500.005645/2016-08","875/2020","CESC - Centrais Elétricas Salto Correntes Ltda ","1.218","5/5/2020","3/8/2023","27°8'10,78""S","50°41'53,86""W"
"Distância","PCH","DRS-PCH","MT","17","Arinos","Tapajos","48500.004414/2007-88","875/2020","Pondera Participações S.A ","2.486/2016 (Cautelar nº 1936/2019)","","","14°11'46,39""S","56°2'33""W"
"do Cervo","PCH","DRI-PCH","MS","16.1","Ribeirão das Botas","Parana, Verde , Peixe, e outros","48500.004039/2019-18","875/2020","Flamarpar Investimentos S.A. ","2.546","9/17/2019","11/17/2020","20°22'36""S","53°50'24""W"
