"Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","","","","","","","","","","","","","","","","","",""
"3,375.00","3375","0","","","","","","","","","","","","","","","","","",""
"3,757.50","3757.5","0","","","","","","","","","","","","","","","","","",""
"696.00","696","0","","","","","","","","","","","","","","","","","",""
"160.00","160","0","","","","","","","","","","","","","","","","","",""
"1,250.00","1250","1010","","","","","","","","","","","","","","","","","",""
"7,200.00","7200","2690","","","","","","","","","","","","","","","","","",""
"910.00","910","0","","","","","","","","","","","","","","","","","",""
"46,000.00","46000","21000","","","","","","","","","","","","","","","","","",""
"920.00","920","0","","","","","","","","","","","","","","","","","",""
"550.00","550","400","","","","","","","","","","","","","","","","","",""
"2,000.00","2000","0","","","","","","","","","","","","","","","","","",""
"4,000.00","4000","1980","","","","","","","","","","","","","","","","","",""
"4,194.40","4194.4","0","","","","","","","","","","","","","","","","","",""
"650.00","650","0","","","","","","","","","","","","","","","","","",""
"384.00","384","0","","","","","","","","","","","","","","","","","",""
"16.00","16","0","","","","","","","","","","","","","","","","","",""
"2,100.00","0","1360","","","","","","","","","","","","","","","","","",""
"60.35","60.35","0","","","","","","","","","","","","","","","","","",""
"1,472.00","1472","0","","","","","","","","","","","","","","","","","",""
"428.00","428","270","","","","","","","","","","","","","","","","","",""
"312.08","312.08","0","","","","","","","","","","","","","","","","","",""
"5,040.00","5040","3590","","","","","","","","","","","","","","","","","",""
"1,120.00","1120","0","","","","","","","","","","","","","","","","","",""
"850.00","850","0","","","","","","","","","","","","","","","","","",""
"24.00","24","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"999.12","999.12","0","","","","","","","","","","","","","","","","","",""
"999.00","999","530","","","","","","","","","","","","","","","","","",""
"1,400.24","1400.24","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","530","","","","","","","","","","","","","","","","","",""
"2,408.00","2408","1030","","","","","","","","","","","","","","","","","",""
"4,770.00","4770","0","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"824.00","824","0","","","","","","","","","","","","","","","","","",""
"922.00","922","0","","","","","","","","","","","","","","","","","",""
"500.00","500","0","","","","","","","","","","","","","","","","","",""
"3,000.00","3000","0","","","","","","","","","","","","","","","","","",""
"560.00","560","320","","","","","","","","","","","","","","","","","",""
"1,192,000.00","1192000","499700","","","","","","","","","","","","","","","","","",""
"6,970.00","6970","3030","","","","","","","","","","","","","","","","","",""
"1.03","1.03","0","","","","","","","","","","","","","","","","","",""
"12.00","12","0","","","","","","","","","","","","","","","","","",""
"16.00","16","0","","","","","","","","","","","","","","","","","",""
"24.00","24","0","","","","","","","","","","","","","","","","","",""
"10.25","10.25","0","","","","","","","","","","","","","","","","","",""
"28.00","28","0","","","","","","","","","","","","","","","","","",""
"950.00","950","0","","","","","","","","","","","","","","","","","",""
"500.00","500","220","","","","","","","","","","","","","","","","","",""
"180,000.00","180000","84600","","","","","","","","","","","","","","","","","",""
"540.00","540","0","","","","","","","","","","","","","","","","","",""
"4,230.00","4230","0","","","","","","","","","","","","","","","","","",""
"1,216,000.00","1216000","582000","","","","","","","","","","","","","","","","","",""
"14,000.00","14000","6680","","","","","","","","","","","","","","","","","",""
"13,800.00","11360","7000","","","","","","","","","","","","","","","","","",""
"620.40","620.4","0","","","","","","","","","","","","","","","","","",""
"140,000.00","140040","68400","","","","","","","","","","","","","","","","","",""
"800.00","800","450","","","","","","","","","","","","","","","","","",""
"2,560.00","2560","0","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","790","","","","","","","","","","","","","","","","","",""
"399,000.00","399000","207900","","","","","","","","","","","","","","","","","",""
"500.00","500","0","","","","","","","","","","","","","","","","","",""
"4,040.00","4040","2990","","","","","","","","","","","","","","","","","",""
"2,082,000.00","2082000","964300","","","","","","","","","","","","","","","","","",""
"52,000.00","52000","28000","","","","","","","","","","","","","","","","","",""
"796.00","796","0","","","","","","","","","","","","","","","","","",""
"720.00","720","570","","","","","","","","","","","","","","","","","",""
"21,600.00","22020","10440","","","","","","","","","","","","","","","","","",""
"1,569.99","1569.99","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","680","","","","","","","","","","","","","","","","","",""
"8,400.00","8400","5200","","","","","","","","","","","","","","","","","",""
"607.75","607.75","0","","","","","","","","","","","","","","","","","",""
"680.00","680","0","","","","","","","","","","","","","","","","","",""
"999.00","999","0","","","","","","","","","","","","","","","","","",""
"848.00","848","0","","","","","","","","","","","","","","","","","",""
"1,200.00","1200","0","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"256.00","256","210","","","","","","","","","","","","","","","","","",""
"1,250.00","1250","960","","","","","","","","","","","","","","","","","",""
"630.00","630","0","","","","","","","","","","","","","","","","","",""
"476,000.00","492100","289500","","","","","","","","","","","","","","","","","",""
"1,575.00","1575","0","","","","","","","","","","","","","","","","","",""
"1,440,000.00","1440000","689700","","","","","","","","","","","","","","","","","",""
"4,000.00","4000","2740","","","","","","","","","","","","","","","","","",""
"7,700.00","7700","1840","","","","","","","","","","","","","","","","","",""
"2,032.00","2032","0","","","","","","","","","","","","","","","","","",""
"416.00","416","390","","","","","","","","","","","","","","","","","",""
"640.00","640","30","","","","","","","","","","","","","","","","","",""
"736.00","736","110","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"408,000.00","408000","198200","","","","","","","","","","","","","","","","","",""
"100.00","100","0","","","","","","","","","","","","","","","","","",""
"736.00","736","0","","","","","","","","","","","","","","","","","",""
"7,360.00","7360","0","","","","","","","","","","","","","","","","","",""
"970.00","970","0","","","","","","","","","","","","","","","","","",""
"680.00","680","0","","","","","","","","","","","","","","","","","",""
"190.00","190","0","","","","","","","","","","","","","","","","","",""
"6,468.00","6468","4660","","","","","","","","","","","","","","","","","",""
"510,000.00","510000","270100","","","","","","","","","","","","","","","","","",""
"3,000.00","3000","1940","","","","","","","","","","","","","","","","","",""
"73.04","73.04","0","","","","","","","","","","","","","","","","","",""
"450.00","450","0","","","","","","","","","","","","","","","","","",""
"1,400.00","1400","0","","","","","","","","","","","","","","","","","",""
